exp,T,V,E,Ci,Ki,t,CF_LA,CA_LA,CF_K,CB_K,NF_LA,NA_LA,NF_K,NB_K,VF,VA,VB
30,20.31666667,20,0.25,3,6,5,1.973979105,0.605143317,2.999123565,1.184787128,2.467473881,0.532526119,3.748904456,2.251095544,1.25,0.88,1.9
30,20.31666667,20,0.25,3,6,6,1.88067609,0.763711633,2.661798342,1.406711617,2.350845112,0.649154888,3.327247927,2.672752073,1.25,0.85,1.9
30,20.31666667,20,0.25,3,6,7,1.846110946,0.857980632,2.212620964,1.743870327,2.270716463,0.729283537,2.721523786,3.278476214,1.23,0.85,1.88
30,20.31666667,20,0.25,3,6,8,1.861171709,0.871129488,1.677558879,2.098383866,2.233406051,0.766593949,2.013070655,3.986929345,1.2,0.88,1.9
31,32.91666667,35,0.5,3,6,0,3,0,6,0,3,0,6,0,1,1,2
31,32.91666667,35,0.5,3,6,3,2.302456889,0.476834104,4.35683063,0.619223747,2.532702578,0.467297422,4.792513693,1.207486307,1.1,0.98,1.95
31,32.91666667,35,0.5,3,6,4,2.156875368,0.74135083,3.37204309,1.295792624,2.221581629,0.778418371,3.473204383,2.526795617,1.03,1.05,1.95
31,32.91666667,35,0.5,3,6,5,1.909089592,1.200001054,2.406790403,1.941012223,1.679998841,1.320001159,2.117975555,3.882024445,0.88,1.1,2
31,32.91666667,35,0.5,3,6,6,1.570925896,1.583418353,1.720157424,2.300139501,1.068229609,1.931770391,1.169707048,4.830292952,0.68,1.22,2.1
31,32.91666667,35,0.5,3,6,7,0.876047326,1.900941775,1.068336907,2.518461423,0.37670035,2.62329965,0.45938487,5.54061513,0.43,1.38,2.2
32,33.88333333,35,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
32,33.88333333,35,0.25,3,6,2,2.367520276,0.403803771,5.0223762,0.250203253,2.604272304,0.395727696,5.52461382,0.47538618,1.1,0.98,1.9
32,33.88333333,35,0.25,3,6,3,2.190459666,0.743826544,3.964197627,1.008882339,2.256173456,0.743826544,4.083123556,1.916876444,1.03,1,1.9
32,33.88333333,35,0.25,3,6,4,1.992662932,1.117225334,2.936746376,1.721501673,1.793396639,1.206603361,2.643071738,3.356928262,0.9,1.08,1.95
32,33.88333333,35,0.25,3,6,5,1.706201011,1.486841747,2.088808436,2.237584921,1.245526738,1.754473262,1.524830158,4.475169842,0.73,1.18,2
32,33.88333333,35,0.25,3,6,6,1.21703151,1.839603265,1.433642328,2.480365651,0.608515755,2.391484245,0.716821164,5.283178836,0.5,1.3,2.13
33,34.2,35,1,3,6,0,3,0,6,0,3,0,6,0,1,1,2
33,34.2,35,1,3,6,3,2.178515665,0.848092792,3.651529079,1.254663991,2.134945352,0.865054648,3.578498497,2.421501503,0.98,1.02,1.93
33,34.2,35,1,3,6,4,1.970439647,1.218334904,2.579733584,1.929410563,1.635464907,1.364535093,2.141178875,3.858821125,0.83,1.12,2
33,34.2,35,1,3,6,5,1.577209345,1.642939514,1.785374127,2.381050978,0.946325607,2.053674393,1.071224476,4.928775524,0.6,1.25,2.07
33,34.2,35,1,3,6,6,0.762241406,1.963185954,0.858087921,2.634484325,0.251539664,2.748460336,0.283169014,5.716830986,0.33,1.4,2.17
34,32.72857143,35,0.5,3,6,0,3,0,6,0,3,0,6,0,1,1,2
34,32.72857143,35,0.5,3,6,2,2.463179997,0.346699595,4.896960712,0.374359174,2.660234397,0.339765603,5.288717569,0.711282431,1.08,0.98,1.9
34,32.72857143,35,0.5,3,6,2.933333333,2.282423452,0.649103844,3.730905497,1.117703284,2.350896156,0.649103844,3.842832662,2.157167338,1.03,1,1.93
34,32.72857143,35,0.5,3,6,3.933333333,2.025933285,1.234584381,2.491846262,2.028179958,1.580227962,1.419772038,1.943640084,4.056359916,0.78,1.15,2
34,32.72857143,35,0.5,3,6,4.933333333,1.450712957,1.686395691,1.459291507,2.454100441,0.841413515,2.158586485,0.846389074,5.153610926,0.58,1.28,2.1
34,32.72857143,35,0.5,3,6,5.933333333,0.238588761,2.095139391,0.216267511,2.699747771,0.066804853,2.933195147,0.060554903,5.939445097,0.28,1.4,2.2
34,32.72857143,35,0.5,3,6,6.933333333,0.044616326,2.135527318,0.029124022,2.663689544,0.010261755,2.989738245,0.006698525,5.993301475,0.23,1.4,2.25
